Date,Open,High,Low,Close,Adj Close,Volume
2017-05-31,1159.000000,1165.000000,1144.550049,1151.199951,1123.062500,1488564
2017-06-01,1150.000000,1162.000000,1133.099976,1160.449951,1132.086426,578030
2017-06-02,1161.199951,1174.900024,1160.199951,1164.300049,1135.842529,437401
2017-06-05,1165.000000,1176.400024,1159.500000,1161.550049,1133.159668,425935
2017-06-06,1162.150024,1165.300049,1141.050049,1153.150024,1124.964966,787798
2017-06-07,1154.000000,1168.000000,1146.000000,1161.500000,1133.110718,531046
2017-06-08,1174.800049,1174.800049,1140.199951,1143.300049,1115.355713,1202971
2017-06-09,1145.000000,1157.599976,1132.150024,1155.750000,1127.501465,559008
2017-06-12,1154.400024,1158.650024,1142.599976,1150.699951,1122.574829,649908
2017-06-13,1151.199951,1154.250000,1142.250000,1149.699951,1121.599243,855507
2017-06-14,1151.000000,1152.849976,1126.250000,1149.599976,1121.501709,931530
2017-06-15,1148.000000,1150.000000,1133.349976,1140.300049,1114.367798,1003963
2017-06-16,1142.699951,1149.800049,1128.449951,1145.400024,1119.351807,1184164
2017-06-19,1149.000000,1158.000000,1137.949951,1154.150024,1127.902832,808994
2017-06-20,1155.099976,1156.849976,1144.500000,1149.449951,1123.309692,804319
2017-06-21,1158.000000,1160.400024,1149.900024,1155.400024,1129.124390,553929
2017-06-22,1157.000000,1171.000000,1156.599976,1162.550049,1136.111694,651018
2017-06-23,1163.000000,1164.500000,1146.099976,1153.650024,1127.414307,596082
2017-06-27,1157.000000,1168.349976,1130.000000,1134.150024,1108.357666,484244
2017-06-28,1125.000000,1128.849976,1099.000000,1109.150024,1083.926147,930404
2017-06-29,1112.000000,1126.949951,1100.000000,1104.550049,1079.430664,460382
2017-06-30,1099.949951,1112.000000,1083.300049,1102.949951,1077.866943,617697
2017-07-03,1107.000000,1123.449951,1104.199951,1120.250000,1094.773804,512386
2017-07-04,1123.800049,1126.449951,1106.800049,1108.550049,1083.339844,549148
2017-07-05,1108.550049,1135.000000,1108.550049,1126.650024,1101.028320,837353
2017-07-06,1135.000000,1144.000000,1127.849976,1132.150024,1106.403076,532283
2017-07-07,1135.000000,1135.400024,1112.050049,1115.449951,1090.082764,364301
2017-07-10,1120.250000,1160.949951,1116.050049,1127.750000,1102.103149,70264
2017-07-11,1125.000000,1135.000000,1122.599976,1131.750000,1106.012085,532133
2017-07-12,1136.000000,1137.400024,1124.099976,1133.699951,1107.917725,373345
2017-07-13,1139.800049,1144.250000,1121.250000,1125.500000,1099.904175,764694
2017-07-14,1128.250000,1128.949951,1112.050049,1117.349976,1091.939575,872831
2017-07-17,1120.599976,1128.699951,1115.250000,1125.449951,1099.855469,1260921
2017-07-18,1118.000000,1150.000000,1117.000000,1146.599976,1120.524414,648737
2017-07-19,1154.949951,1158.000000,1146.050049,1155.849976,1129.564087,964588
2017-07-20,1156.900024,1157.849976,1133.949951,1155.550049,1129.270874,1287749
2017-07-21,1156.000000,1172.500000,1148.000000,1156.099976,1129.808350,2017663
2017-07-24,1151.599976,1159.500000,1140.000000,1155.750000,1129.466431,2063340
2017-07-25,1160.050049,1165.000000,1140.000000,1150.099976,1123.944824,2963793
2017-07-26,1134.000000,1144.800049,1126.000000,1134.000000,1108.211182,1973462
2017-07-27,1136.550049,1153.000000,1136.050049,1148.800049,1122.674438,1033335
2017-07-28,1148.000000,1156.900024,1139.000000,1153.250000,1127.023315,616845
2017-07-31,1154.150024,1164.000000,1146.099976,1161.699951,1135.281006,777721
2017-08-01,1162.000000,1163.000000,1140.500000,1148.199951,1122.088013,1176561
2017-08-02,1150.000000,1152.000000,1135.000000,1144.500000,1118.472412,848781
2017-08-03,1143.000000,1148.900024,1127.099976,1146.099976,1120.035767,997619
2017-08-04,1144.000000,1159.949951,1140.650024,1157.300049,1130.981079,529318
2017-08-07,1160.000000,1160.750000,1142.400024,1149.650024,1123.505127,576280
2017-08-08,1146.000000,1151.500000,1139.099976,1147.349976,1121.257324,600256
2017-08-09,1147.800049,1158.900024,1140.099976,1155.550049,1129.270874,530763
2017-08-10,1154.000000,1160.300049,1146.000000,1151.099976,1124.922119,649594
2017-08-11,1135.650024,1148.750000,1121.199951,1143.900024,1117.885742,843233
2017-08-14,1149.449951,1163.699951,1145.000000,1154.000000,1127.756104,511994
2017-08-16,1154.349976,1155.300049,1129.000000,1141.300049,1115.344971,857454
2017-08-17,1141.300049,1142.800049,1132.000000,1134.949951,1109.139282,494638
2017-08-18,1131.949951,1142.449951,1123.000000,1140.000000,1114.074463,357491
2017-08-21,1141.800049,1141.800049,1128.500000,1134.449951,1108.650879,456594
2017-08-22,1140.099976,1142.599976,1125.949951,1129.449951,1103.764404,568911
2017-08-23,1131.800049,1144.500000,1114.000000,1141.300049,1115.344971,513036
2017-08-24,1140.400024,1145.000000,1131.000000,1135.599976,1109.774658,483362
2017-08-28,1131.500000,1159.750000,1126.099976,1155.900024,1129.612793,751938
2017-08-29,1155.000000,1155.000000,1139.300049,1151.699951,1125.508423,578071
2017-08-30,1149.900024,1160.349976,1144.300049,1153.349976,1127.120972,674280
2017-08-31,1146.349976,1174.000000,1144.300049,1168.550049,1141.975464,1131097
2017-09-01,1174.199951,1219.000000,1166.000000,1215.900024,1188.248413,1523879
2017-09-04,1215.900024,1215.900024,1192.000000,1197.050049,1169.827271,682612
2017-09-05,1201.250000,1223.050049,1200.400024,1206.349976,1178.915405,714964
2017-09-06,1198.349976,1213.449951,1198.000000,1206.050049,1178.622437,370400
2017-09-07,1218.000000,1218.800049,1193.949951,1198.650024,1171.390747,832839
2017-09-08,1195.000000,1206.000000,1190.000000,1203.949951,1176.569946,477517
2017-09-11,1206.000000,1241.000000,1199.599976,1238.050049,1209.894775,843302
2017-09-12,1242.000000,1259.949951,1236.050049,1256.349976,1227.778442,1461215
2017-09-13,1250.050049,1262.000000,1249.000000,1254.949951,1226.410278,913364
2017-09-14,1258.000000,1262.000000,1241.000000,1246.050049,1217.713013,754072
2017-09-15,1230.500000,1249.650024,1226.199951,1245.500000,1217.175537,912016
2017-09-18,1250.000000,1261.000000,1248.800049,1255.949951,1227.387573,419287
2017-09-19,1262.000000,1262.000000,1249.199951,1253.300049,1224.797852,464997
